Furo,X,Y,CU(%),AU(PPM)
Furo 089,109,268,1.878,
Furo 090,111,291,2.688,
Furo 091,130,9,5.725,
Furo 092,131,31,0.291,
Furo 093,130,48,0.752,
Furo 094,128,70,3.999,
Furo 095,129,90,2.431,
Furo 096,131,109,0.0,
Furo 097,129,128,2.447,
Furo 098,131,148,1.852,
Furo 099,131,169,0.26,
Furo 100,129,191,0.0,
Furo 101,128,209,1.003,
Furo 102,130,231,5.303,
Furo 103,131,248,1.074,
Furo 104,128,269,1.593,
Furo 105,131,288,0.707,
Furo 106,148,8,2.602,
Furo 107,149,29,3.26,
Furo 108,150,49,3.327,
Furo 109,151,69,5.313,
Furo 110,150,89,5.472,
Furo 111,150,109,4.827,
Furo 112,150,129,0.841,
Furo 113,150,151,0.047,
Furo 114,149,169,1.806,
Furo 115,151,190,0.0,
Furo 116,148,208,3.424,
Furo 117,150,228,6.023,
Furo 118,149,251,2.091,
Furo 119,149,271,0.794,
Furo 120,148,291,1.041,
Furo 121,168,8,4.46,
Furo 122,171,29,1.899,
Furo 123,169,49,2.804,
Furo 124,168,69,0.0,
Furo 125,168,91,4.993,
Furo 126,171,109,4.573,
Furo 127,168,131,3.412,
Furo 128,171,150,0.0,
Furo 129,171,171,2.083,
Furo 130,169,191,0.997,
Furo 131,170,210,6.366,
Furo 132,170,230,1.731,
Furo 133,169,249,0.17,
Furo 134,168,271,2.831,
Furo 135,168,290,0.309,
Furo 136,190,11,3.485,
Furo 137,191,28,2.224,
Furo 138,191,48,0.591,
Furo 139,190,69,0.0,
Furo 140,190,89,3.26,
Furo 141,188,111,3.251,
Furo 142,191,129,1.147,
Furo 143,189,149,4.816,
Furo 144,190,169,3.241,
Furo 145,190,189,0.109,
Furo 146,188,210,3.329,
Furo 147,191,231,1.844,
Furo 148,190,248,1.466,
Furo 149,189,270,0.92,
Furo 150,189,290,0.025,
Furo 151,211,11,3.581,
Furo 152,209,30,4.733,
Furo 153,211,49,3.088,
Furo 154,210,70,4.068,
Furo 155,209,90,8.121,
Furo 156,210,111,3.397,
Furo 157,211,130,2.239,
Furo 158,208,151,6.735,
Furo 159,209,168,1.41,
Furo 160,208,191,0.618,
Furo 161,210,211,2.583,
Furo 162,211,228,5.903,
Furo 163,211,250,1.669,
Furo 164,208,268,1.252,
Furo 165,208,289,0.293,
Furo 166,231,10,6.176,
Furo 167,231,28,4.259,
Furo 168,230,50,2.957,
Furo 169,230,71,2.249,
Furo 170,229,91,0.317,
Furo 171,229,110,3.774,
Furo 172,230,131,3.333,
Furo 173,228,148,3.51,
Furo 174,229,169,0.0,
Furo 175,231,191,1.376,
Furo 176,231,208,4.512,
Furo 177,229,228,6.395,
Furo 178,231,249,1.199,
Furo 179,231,268,0.272,
Furo 180,230,291,0.021,
Furo 181,249,9,1.677,
Furo 182,250,30,1.478,
Furo 183,249,48,4.427,
Furo 184,251,69,4.877,
Furo 185,251,91,0.0,
Furo 186,248,109,0.282,
Furo 187,249,130,0.0,
Furo 188,248,150,0.183,
Furo 189,250,169,2.663,
Furo 190,250,190,5.023,
Furo 191,251,208,0.0,
Furo 192,251,229,2.409,
Furo 193,249,251,2.344,
Furo 194,248,270,0.224,
Furo 195,250,291,0.456,
Furo 196,40,71,0.762,0.0011
Furo 197,21,69,2.843,0.0078
Furo 198,28,80,6.068,0.1053
Furo 199,29,59,7.727,1.5127
Furo 200,41,81,2.695,0.0098
Furo 201,18,80,10.367,0.8604
Furo 202,39,60,2.386,0.0127
Furo 203,18,60,5.194,0.1771
Furo 204,41,90,4.149,0.0234
Furo 205,21,90,6.014,0.1731
Furo 206,31,101,5.792,0.2965
Furo 207,41,100,6.014,0.3006
Furo 208,21,100,5.946,0.2297
Furo 209,60,8,5.501,0.2583
Furo 210,40,11,0.994,0.0022
Furo 211,51,18,2.336,0.0142
Furo 212,59,20,0.144,0.0001
Furo 213,41,21,1.159,0.0031
Furo 214,59,90,5.062,0.1269
Furo 215,51,101,5.024,0.0738
Furo 216,50,81,6.08,0.2107
Furo 217,59,101,3.639,0.0304
Furo 218,60,81,3.856,0.0503
Furo 220,38,148,3.409,0.05
Furo 221,50,160,8.791,0.4742
Furo 222,50,138,4.134,0.083
Furo 223,61,158,8.689,0.9838
Furo 224,39,160,6.574,0.2178
Furo 225,61,139,4.77,0.0715
Furo 226,38,140,2.685,0.0262
Furo 227,61,170,8.064,0.3011
Furo 228,39,170,9.144,1.5485
Furo 229,49,179,8.115,0.2349
Furo 233,40,190,9.709,1.3911
Furo 234,51,198,11.09,1.6608
Furo 235,60,198,12.039,1.8137
Furo 236,40,200,6.413,0.2491
Furo 237,58,208,7.206,1.1601
Furo 238,38,209,6.653,0.5478
Furo 239,50,221,5.433,1.0666
Furo 240,61,220,1.011,0.0595
Furo 241,39,221,6.159,0.4209
Furo 242,59,268,5.431,1.7142
Furo 243,41,271,8.688,0.8287
Furo 244,49,278,5.83,1.7888
Furo 246,59,281,1.488,0.675
Furo 247,39,279,7.98,1.1821
Furo 248,59,258,1.949,0.9833
Furo 249,38,260,6.352,0.7666
Furo 250,78,28,7.816,0.5654
Furo 251,60,29,2.386,0.0127
Furo 252,70,41,4.72,0.0849
Furo 253,70,21,0.581,0.0003
Furo 254,78,41,6.003,0.1246
Furo 255,61,41,0.649,0.0008
Furo 256,78,20,5.059,0.07
Furo 257,80,131,8.016,0.4211
Furo 258,58,128,1.588,0.0043
Furo 259,71,140,6.063,0.1751
Furo 260,70,121,0.307,
Furo 261,79,138,7.301,1.6945
Furo 262,80,119,4.212,0.0351
Furo 263,61,121,1.048,0.0018
Furo 264,79,149,0.441,
Furo 267,80,168,6.891,0.6346
Furo 268,69,181,4.246,0.7626
Furo 269,79,181,1.843,0.2417
Furo 270,80,188,2.452,0.4311
Furo 271,70,198,6.3,1.9921
Furo 272,81,200,0.0,
Furo 273,100,48,0.487,
Furo 274,80,49,7.574,0.4738
Furo 275,90,58,7.398,0.2802
Furo 276,88,39,5.207,0.0768
Furo 277,100,60,0.0,
Furo 278,80,59,0.0,
Furo 279,101,38,7.305,0.464
Furo 280,101,68,3.831,0.0978
Furo 281,79,70,5.088,0.1039
Furo 282,90,79,5.733,0.1383
Furo 283,100,78,3.724,0.0709
Furo 284,81,81,5.858,0.1972
Furo 285,100,91,3.972,0.0389
Furo 286,80,89,6.145,0.1923
Furo 287,91,99,7.349,0.1596
Furo 288,101,100,5.993,0.5393
Furo 289,81,98,1.812,0.0013
Furo 290,98,111,7.448,1.987
Furo 291,81,108,10.223,0.643
Furo 292,90,120,8.993,1.2903
Furo 293,100,118,3.637,0.0205
Furo 294,98,130,5.132,0.2639
Furo 296,90,138,6.454,1.9271
Furo 297,121,131,0.13,0.0002
Furo 298,111,140,1.903,0.0488
Furo 300,120,141,1.047,0.0146
Furo 301,119,118,1.504,0.0169
Furo 302,158,228,5.584,0.5516
Furo 303,140,229,5.58,0.5139
Furo 304,150,241,3.185,0.1292
Furo 305,151,218,3.943,0.2392
Furo 306,161,241,1.419,0.0086
Furo 307,141,240,1.125,0.0046
Furo 308,160,218,5.804,1.1187
Furo 309,139,220,5.359,0.4457
Furo 310,178,211,3.982,0.5618
Furo 311,159,209,5.173,0.1488
Furo 312,169,221,4.272,0.1972
Furo 313,170,198,3.676,1.4298
Furo 314,180,218,3.747,0.0775
Furo 315,178,201,1.448,0.0813
Furo 316,158,198,1.698,0.1545
Furo 317,219,88,2.351,0.1369
Furo 318,198,90,6.117,0.7358
Furo 319,211,100,7.464,0.7106
Furo 320,208,80,4.366,0.4958
Furo 321,221,99,5.409,0.5868
Furo 322,199,98,8.01,1.419
Furo 323,220,81,2.721,0.1773
Furo 324,198,78,2.041,0.086
Furo 325,220,150,5.439,0.675
Furo 326,200,150,6.062,0.3811
Furo 327,208,159,3.56,0.2804
Furo 328,210,140,4.409,0.3303
Furo 329,221,160,3.018,0.3656
Furo 330,198,161,3.694,0.1545
Furo 331,219,139,1.668,0.0245
Furo 332,200,139,2.309,0.0422
Furo 333,239,8,2.403,0.0802
Furo 334,218,8,7.371,1.3734
Furo 335,229,19,5.186,0.1477
Furo 336,239,18,3.907,0.1867
Furo 337,218,18,7.974,1.4297
Furo 338,238,229,6.026,1.5109
Furo 339,218,228,4.308,0.2652
Furo 340,231,239,3.541,0.478
Furo 341,230,221,6.024,0.5389
Furo 342,240,239,1.726,0.0519
Furo 343,221,241,3.248,0.2909
Furo 344,239,220,4.201,0.3983
Furo 345,218,218,7.635,1.2367
Furo 346,35,71,6.878,0.4868
Furo 347,24,71,7.358,0.4639
Furo 348,34,88,0.869,0.0001
Furo 349,23,91,8.17,0.7088
Furo 350,54,10,6.379,0.3494
Furo 351,46,11,5.123,0.392
Furo 352,55,89,4.234,0.0212
Furo 353,45,89,5.696,0.0628
Furo 354,53,150,8.58,0.873
Furo 355,46,148,2.34,0.0075
Furo 356,55,168,8.76,0.2881
Furo 357,43,170,10.828,1.1749
Furo 359,44,191,6.466,0.0768
Furo 360,55,211,8.895,0.9388
Furo 361,46,211,5.092,0.4297
Furo 363,43,271,7.678,0.1981
Furo 364,73,29,6.494,0.2317
Furo 365,64,31,2.354,0.0108
Furo 366,75,129,7.828,0.6393
Furo 367,64,129,2.273,0.0086
Furo 368,73,149,7.229,0.6961
Furo 369,64,151,9.745,0.6641
Furo 370,75,171,5.122,0.1448
Furo 371,63,168,12.158,1.4461
Furo 373,64,191,12.599,1.2576
Furo 374,93,48,6.875,0.3732
Furo 375,86,48,4.719,0.0318
Furo 376,93,70,5.121,0.1961
Furo 377,84,69,9.639,1.21
Furo 378,93,90,8.74,1.0313
Furo 379,86,89,5.824,0.117
Furo 380,96,111,5.532,0.3605
Furo 381,85,108,9.373,1.4955
Furo 382,93,131,8.836,1.3368
Furo 383,86,131,8.799,0.9653
Furo 384,114,131,2.684,0.1044
Furo 385,106,130,6.515,1.9577
Furo 386,155,229,3.864,0.0882
Furo 387,145,230,3.332,0.0635
Furo 388,174,208,3.392,0.335
Furo 389,166,211,6.003,0.6476
Furo 390,215,89,5.952,1.457
Furo 391,205,89,8.096,0.9558
Furo 392,215,148,2.933,0.0677
Furo 393,204,151,6.973,0.4445
Furo 394,236,9,5.159,1.5938
Furo 395,223,9,6.132,0.2776
Furo 396,236,229,6.653,1.962
Furo 398,35,80,1.748,0.002
Furo 399,24,79,8.918,0.6357
Furo 400,36,61,6.996,1.5478
Furo 401,26,58,0.395,0.0003
Furo 402,16,80,9.156,0.6348
Furo 403,43,60,5.84,0.0974
Furo 404,15,88,6.1,0.3193
Furo 405,46,99,5.668,0.1002
Furo 406,36,99,0.381,
Furo 407,54,80,4.83,0.105
Furo 408,46,81,5.426,0.1386
Furo 409,54,161,9.593,0.4667
Furo 410,43,161,6.319,0.2611
Furo 412,33,160,4.31,0.0486
Furo 413,36,170,6.723,0.6055
Furo 414,53,179,10.034,0.4254
Furo 415,44,180,8.764,0.9378
Furo 416,65,181,7.341,0.5893
Furo 417,34,180,3.66,0.1102
Furo 418,33,191,2.965,0.0791
Furo 419,55,199,10.692,0.3764
Furo 420,46,198,8.043,0.6746
Furo 421,63,201,7.311,1.3633
Furo 422,34,201,3.181,0.0796
Furo 423,65,210,2.386,0.4883
Furo 424,35,208,4.289,0.1612
Furo 425,46,220,7.344,1.2361
Furo 426,36,219,4.291,0.1523
Furo 427,35,217,5.974,0.397
Furo 428,53,258,4.426,1.6964
Furo 429,46,260,7.652,0.7798
Furo 430,45,281,6.055,0.9348
Furo 431,35,278,7.959,1.5883
Furo 432,35,259,2.35,0.0189
Furo 433,84,30,5.62,0.0853
Furo 434,84,41,4.114,0.034
Furo 435,75,40,6.967,0.3562
Furo 436,73,141,7.909,0.6073
Furo 437,63,140,6.965,0.3578
Furo 438,84,138,6.873,0.8934
Furo 439,76,159,5.975,0.9973
Furo 440,84,161,4.374,0.3872
Furo 441,86,169,3.174,0.7617
Furo 443,76,51,4.987,0.1018
Furo 444,94,61,7.787,1.354
Furo 445,85,60,5.233,0.1175
Furo 446,104,38,6.171,0.2002
Furo 447,93,41,3.955,0.0284
Furo 448,75,90,5.189,0.113
Furo 449,94,101,3.837,0.0129
Furo 450,85,100,7.041,0.126
Furo 451,104,109,5.623,0.9086
Furo 452,75,110,6.553,0.349
Furo 453,95,121,8.236,0.5484
Furo 454,83,119,8.477,0.7014
Furo 455,94,140,6.075,0.7232
Furo 456,103,139,4.912,0.5653
Furo 457,114,120,3.195,0.1542
Furo 458,104,118,5.94,0.2892
Furo 459,196,91,4.335,0.2541
Furo 460,215,101,2.096,0.004
Furo 461,204,101,5.338,0.1273
Furo 462,196,101,5.924,0.4194
Furo 463,195,149,4.787,0.1419
Furo 464,216,11,6.602,1.4248
Furo 465,225,19,8.322,0.5122
Furo 466,214,19,2.425,0.0156
Furo 467,245,231,1.612,0.0261
Furo 468,233,220,6.26,0.9597
Furo 469,226,221,8.001,1.6815
Furo 470,213,218,4.826,0.4762
