row_id,Furo,X,Y,CU(%),AU(PPM)
58,Furo 058,68,250,0.0,-99.0
59,Furo 059,71,268,0.0,-99.0
60,Furo 060,71,288,0.024,-99.0
61,Furo 061,91,11,3.683,-99.0
62,Furo 062,91,29,0.916,-99.0
63,Furo 063,90,49,6.547,-99.0
64,Furo 064,91,68,6.455,-99.0
65,Furo 065,91,91,9.072,-99.0
66,Furo 066,91,111,8.263,-99.0
67,Furo 067,89,130,9.753,-99.0
68,Furo 068,88,149,5.511,-99.0
69,Furo 069,89,170,1.555,-99.0
70,Furo 070,89,188,0.107,-99.0
71,Furo 071,90,211,0.0,-99.0
72,Furo 072,90,230,0.0,-99.0
73,Furo 073,88,249,0.0,-99.0
74,Furo 074,88,269,0.121,-99.0
75,Furo 075,88,288,0.622,-99.0
76,Furo 076,109,11,3.996,-99.0
77,Furo 077,111,31,1.766,-99.0
78,Furo 078,108,49,4.02,-99.0
79,Furo 079,109,68,2.606,-99.0
80,Furo 080,108,88,1.92,-99.0
81,Furo 081,110,109,2.376,-99.0
82,Furo 082,109,129,7.02,-99.0
83,Furo 083,110,148,0.385,-99.0
84,Furo 084,111,169,0.221,-99.0
85,Furo 085,111,191,0.027,-99.0
86,Furo 086,110,208,0.179,-99.0
87,Furo 087,109,230,1.742,-99.0
88,Furo 088,109,249,0.129,-99.0
89,Furo 089,109,268,1.878,-99.0
90,Furo 090,111,291,2.688,-99.0
91,Furo 091,130,9,5.725,-99.0
92,Furo 092,131,31,0.291,-99.0
93,Furo 093,130,48,0.752,-99.0
94,Furo 094,128,70,3.999,-99.0
95,Furo 095,129,90,2.431,-99.0
96,Furo 096,131,109,0.0,-99.0
97,Furo 097,129,128,2.447,-99.0
98,Furo 098,131,148,1.852,-99.0
99,Furo 099,131,169,0.26,-99.0
100,Furo 100,129,191,0.0,-99.0
101,Furo 101,128,209,1.003,-99.0
102,Furo 102,130,231,5.303,-99.0
103,Furo 103,131,248,1.074,-99.0
104,Furo 104,128,269,1.593,-99.0
105,Furo 105,131,288,0.707,-99.0
106,Furo 106,148,8,2.602,-99.0
107,Furo 107,149,29,3.26,-99.0
108,Furo 108,150,49,3.327,-99.0
109,Furo 109,151,69,5.313,-99.0
110,Furo 110,150,89,5.472,-99.0
111,Furo 111,150,109,4.827,-99.0
112,Furo 112,150,129,0.841,-99.0
113,Furo 113,150,151,0.047,-99.0
114,Furo 114,149,169,1.806,-99.0
115,Furo 115,151,190,0.0,-99.0
116,Furo 116,148,208,3.424,-99.0
117,Furo 117,150,228,6.023,-99.0
118,Furo 118,149,251,2.091,-99.0
119,Furo 119,149,271,0.794,-99.0
120,Furo 120,148,291,1.041,-99.0
121,Furo 121,168,8,4.46,-99.0
122,Furo 122,171,29,1.899,-99.0
123,Furo 123,169,49,2.804,-99.0
124,Furo 124,168,69,0.0,-99.0
125,Furo 125,168,91,4.993,-99.0
126,Furo 126,171,109,4.573,-99.0
127,Furo 127,168,131,3.412,-99.0
128,Furo 128,171,150,0.0,-99.0
129,Furo 129,171,171,2.083,-99.0
130,Furo 130,169,191,0.997,-99.0
131,Furo 131,170,210,6.366,-99.0
132,Furo 132,170,230,1.731,-99.0
133,Furo 133,169,249,0.17,-99.0
134,Furo 134,168,271,2.831,-99.0
135,Furo 135,168,290,0.309,-99.0
136,Furo 136,190,11,3.485,-99.0
137,Furo 137,191,28,2.224,-99.0
138,Furo 138,191,48,0.591,-99.0
139,Furo 139,190,69,0.0,-99.0
140,Furo 140,190,89,3.26,-99.0
141,Furo 141,188,111,3.251,-99.0
142,Furo 142,191,129,1.147,-99.0
143,Furo 143,189,149,4.816,-99.0
144,Furo 144,190,169,3.241,-99.0
145,Furo 145,190,189,0.109,-99.0
146,Furo 146,188,210,3.329,-99.0
147,Furo 147,191,231,1.844,-99.0
148,Furo 148,190,248,1.466,-99.0
149,Furo 149,189,270,0.92,-99.0
150,Furo 150,189,290,0.025,-99.0
151,Furo 151,211,11,3.581,-99.0
152,Furo 152,209,30,4.733,-99.0
153,Furo 153,211,49,3.088,-99.0
154,Furo 154,210,70,4.068,-99.0
155,Furo 155,209,90,8.121,-99.0
156,Furo 156,210,111,3.397,-99.0
157,Furo 157,211,130,2.239,-99.0
158,Furo 158,208,151,6.735,-99.0
159,Furo 159,209,168,1.41,-99.0
160,Furo 160,208,191,0.618,-99.0
161,Furo 161,210,211,2.583,-99.0
162,Furo 162,211,228,5.903,-99.0
163,Furo 163,211,250,1.669,-99.0
164,Furo 164,208,268,1.252,-99.0
165,Furo 165,208,289,0.293,-99.0
166,Furo 166,231,10,6.176,-99.0
167,Furo 167,231,28,4.259,-99.0
168,Furo 168,230,50,2.957,-99.0
169,Furo 169,230,71,2.249,-99.0
170,Furo 170,229,91,0.317,-99.0
171,Furo 171,229,110,3.774,-99.0
172,Furo 172,230,131,3.333,-99.0
173,Furo 173,228,148,3.51,-99.0
174,Furo 174,229,169,0.0,-99.0
175,Furo 175,231,191,1.376,-99.0
176,Furo 176,231,208,4.512,-99.0
177,Furo 177,229,228,6.395,-99.0
178,Furo 178,231,249,1.199,-99.0
179,Furo 179,231,268,0.272,-99.0
180,Furo 180,230,291,0.021,-99.0
181,Furo 181,249,9,1.677,-99.0
182,Furo 182,250,30,1.478,-99.0
183,Furo 183,249,48,4.427,-99.0
184,Furo 184,251,69,4.877,-99.0
185,Furo 185,251,91,0.0,-99.0
186,Furo 186,248,109,0.282,-99.0
187,Furo 187,249,130,0.0,-99.0
188,Furo 188,248,150,0.183,-99.0
189,Furo 189,250,169,2.663,-99.0
190,Furo 190,250,190,5.023,-99.0
191,Furo 191,251,208,0.0,-99.0
192,Furo 192,251,229,2.409,-99.0
193,Furo 193,249,251,2.344,-99.0
194,Furo 194,248,270,0.224,-99.0
195,Furo 195,250,291,0.456,-99.0
196,Furo 196,40,71,0.762,0.0011
197,Furo 197,21,69,2.843,0.0078
198,Furo 198,28,80,6.068,0.1053
199,Furo 199,29,59,7.727,1.5127
200,Furo 200,41,81,2.695,0.0098
201,Furo 201,18,80,10.367,0.8604
202,Furo 202,39,60,2.386,0.0127
203,Furo 203,18,60,5.194,0.1771
204,Furo 204,41,90,4.149,0.0234
205,Furo 205,21,90,6.014,0.1731
206,Furo 206,31,101,5.792,0.2965
207,Furo 207,41,100,6.014,0.3006
208,Furo 208,21,100,5.946,0.2297
209,Furo 209,60,8,5.501,0.2583
210,Furo 210,40,11,0.994,0.0022
211,Furo 211,51,18,2.336,0.0142
212,Furo 212,59,20,0.144,0.0001
213,Furo 213,41,21,1.159,0.0031
214,Furo 214,59,90,5.062,0.1269
215,Furo 215,51,101,5.024,0.0738
216,Furo 216,50,81,6.08,0.2107
217,Furo 217,59,101,3.639,0.0304
218,Furo 218,60,81,3.856,0.0503
219,Furo 219,60,151,15.211,3.6918
220,Furo 220,38,148,3.409,0.05
221,Furo 221,50,160,8.791,0.4742
222,Furo 222,50,138,4.134,0.083
223,Furo 223,61,158,8.689,0.9838
224,Furo 224,39,160,6.574,0.2178
225,Furo 225,61,139,4.77,0.0715
226,Furo 226,38,140,2.685,0.0262
227,Furo 227,61,170,8.064,0.3011
228,Furo 228,39,170,9.144,1.5485
229,Furo 229,49,179,8.115,0.2349
230,Furo 230,58,179,11.136,2.1547
231,Furo 231,39,181,10.08,3.6374
232,Furo 232,60,191,15.281,1.9309
233,Furo 233,40,190,9.709,1.3911
234,Furo 234,51,198,11.09,1.6608
235,Furo 235,60,198,12.039,1.8137
236,Furo 236,40,200,6.413,0.2491
237,Furo 237,58,208,7.206,1.1601
238,Furo 238,38,209,6.653,0.5478
239,Furo 239,50,221,5.433,1.0666
240,Furo 240,61,220,1.011,0.0595
241,Furo 241,39,221,6.159,0.4209
242,Furo 242,59,268,5.431,1.7142
243,Furo 243,41,271,8.688,0.8287
244,Furo 244,49,278,5.83,1.7888
245,Furo 245,51,260,6.707,3.7389
246,Furo 246,59,281,1.488,0.675
247,Furo 247,39,279,7.98,1.1821
248,Furo 248,59,258,1.949,0.9833
249,Furo 249,38,260,6.352,0.7666
250,Furo 250,78,28,7.816,0.5654
251,Furo 251,60,29,2.386,0.0127
252,Furo 252,70,41,4.72,0.0849
253,Furo 253,70,21,0.581,0.0003
254,Furo 254,78,41,6.003,0.1246
255,Furo 255,61,41,0.649,0.0008
256,Furo 256,78,20,5.059,0.07
257,Furo 257,80,131,8.016,0.4211
258,Furo 258,58,128,1.588,0.0043
259,Furo 259,71,140,6.063,0.1751
260,Furo 260,70,121,0.307,-99.0
261,Furo 261,79,138,7.301,1.6945
262,Furo 262,80,119,4.212,0.0351
263,Furo 263,61,121,1.048,0.0018
264,Furo 264,79,149,0.441,-99.0
265,Furo 265,71,160,8.011,2.535
266,Furo 266,78,159,7.42,3.3715
267,Furo 267,80,168,6.891,0.6346
268,Furo 268,69,181,4.246,0.7626
269,Furo 269,79,181,1.843,0.2417
270,Furo 270,80,188,2.452,0.4311
271,Furo 271,70,198,6.3,1.9921
272,Furo 272,81,200,0.0,-99.0
273,Furo 273,100,48,0.487,-99.0
274,Furo 274,80,49,7.574,0.4738
275,Furo 275,90,58,7.398,0.2802
276,Furo 276,88,39,5.207,0.0768
277,Furo 277,100,60,0.0,-99.0
278,Furo 278,80,59,0.0,-99.0
279,Furo 279,101,38,7.305,0.464
280,Furo 280,101,68,3.831,0.0978
281,Furo 281,79,70,5.088,0.1039
282,Furo 282,90,79,5.733,0.1383
283,Furo 283,100,78,3.724,0.0709
284,Furo 284,81,81,5.858,0.1972
285,Furo 285,100,91,3.972,0.0389
286,Furo 286,80,89,6.145,0.1923
287,Furo 287,91,99,7.349,0.1596
288,Furo 288,101,100,5.993,0.5393
289,Furo 289,81,98,1.812,0.0013
290,Furo 290,98,111,7.448,1.987
291,Furo 291,81,108,10.223,0.643
292,Furo 292,90,120,8.993,1.2903
293,Furo 293,100,118,3.637,0.0205
294,Furo 294,98,130,5.132,0.2639
295,Furo 295,90,140,6.488,2.1475
296,Furo 296,90,138,6.454,1.9271
297,Furo 297,121,131,0.13,0.0002
298,Furo 298,111,140,1.903,0.0488
299,Furo 299,108,121,8.93,3.0709
300,Furo 300,120,141,1.047,0.0146
301,Furo 301,119,118,1.504,0.0169
302,Furo 302,158,228,5.584,0.5516
303,Furo 303,140,229,5.58,0.5139
304,Furo 304,150,241,3.185,0.1292
305,Furo 305,151,218,3.943,0.2392
306,Furo 306,161,241,1.419,0.0086
307,Furo 307,141,240,1.125,0.0046
308,Furo 308,160,218,5.804,1.1187
309,Furo 309,139,220,5.359,0.4457
310,Furo 310,178,211,3.982,0.5618
311,Furo 311,159,209,5.173,0.1488
312,Furo 312,169,221,4.272,0.1972
313,Furo 313,170,198,3.676,1.4298
314,Furo 314,180,218,3.747,0.0775
315,Furo 315,178,201,1.448,0.0813
316,Furo 316,158,198,1.698,0.1545
317,Furo 317,219,88,2.351,0.1369
318,Furo 318,198,90,6.117,0.7358
319,Furo 319,211,100,7.464,0.7106
320,Furo 320,208,80,4.366,0.4958
321,Furo 321,221,99,5.409,0.5868
322,Furo 322,199,98,8.01,1.419
323,Furo 323,220,81,2.721,0.1773
324,Furo 324,198,78,2.041,0.086
325,Furo 325,220,150,5.439,0.675
326,Furo 326,200,150,6.062,0.3811
327,Furo 327,208,159,3.56,0.2804
328,Furo 328,210,140,4.409,0.3303
329,Furo 329,221,160,3.018,0.3656
330,Furo 330,198,161,3.694,0.1545
331,Furo 331,219,139,1.668,0.0245
332,Furo 332,200,139,2.309,0.0422
333,Furo 333,239,8,2.403,0.0802
334,Furo 334,218,8,7.371,1.3734
335,Furo 335,229,19,5.186,0.1477
336,Furo 336,239,18,3.907,0.1867
337,Furo 337,218,18,7.974,1.4297
338,Furo 338,238,229,6.026,1.5109
339,Furo 339,218,228,4.308,0.2652
340,Furo 340,231,239,3.541,0.478
341,Furo 341,230,221,6.024,0.5389
342,Furo 342,240,239,1.726,0.0519
343,Furo 343,221,241,3.248,0.2909
344,Furo 344,239,220,4.201,0.3983
345,Furo 345,218,218,7.635,1.2367
346,Furo 346,35,71,6.878,0.4868
347,Furo 347,24,71,7.358,0.4639
348,Furo 348,34,88,0.869,0.0001
349,Furo 349,23,91,8.17,0.7088
350,Furo 350,54,10,6.379,0.3494
351,Furo 351,46,11,5.123,0.392
352,Furo 352,55,89,4.234,0.0212
353,Furo 353,45,89,5.696,0.0628
354,Furo 354,53,150,8.58,0.873
355,Furo 355,46,148,2.34,0.0075
356,Furo 356,55,168,8.76,0.2881
357,Furo 357,43,170,10.828,1.1749
358,Furo 358,55,191,13.926,1.0047
359,Furo 359,44,191,6.466,0.0768
360,Furo 360,55,211,8.895,0.9388
361,Furo 361,46,211,5.092,0.4297
362,Furo 362,54,269,6.131,2.9224
363,Furo 363,43,271,7.678,0.1981
364,Furo 364,73,29,6.494,0.2317
365,Furo 365,64,31,2.354,0.0108
366,Furo 366,75,129,7.828,0.6393
367,Furo 367,64,129,2.273,0.0086
368,Furo 368,73,149,7.229,0.6961
369,Furo 369,64,151,9.745,0.6641
370,Furo 370,75,171,5.122,0.1448
371,Furo 371,63,168,12.158,1.4461
372,Furo 372,73,188,6.871,2.3515
373,Furo 373,64,191,12.599,1.2576
374,Furo 374,93,48,6.875,0.3732
375,Furo 375,86,48,4.719,0.0318
376,Furo 376,93,70,5.121,0.1961
377,Furo 377,84,69,9.639,1.21
378,Furo 378,93,90,8.74,1.0313
379,Furo 379,86,89,5.824,0.117
380,Furo 380,96,111,5.532,0.3605
381,Furo 381,85,108,9.373,1.4955
382,Furo 382,93,131,8.836,1.3368
383,Furo 383,86,131,8.799,0.9653
384,Furo 384,114,131,2.684,0.1044
385,Furo 385,106,130,6.515,1.9577
386,Furo 386,155,229,3.864,0.0882
387,Furo 387,145,230,3.332,0.0635
388,Furo 388,174,208,3.392,0.335
389,Furo 389,166,211,6.003,0.6476
390,Furo 390,215,89,5.952,1.457
391,Furo 391,205,89,8.096,0.9558
392,Furo 392,215,148,2.933,0.0677
393,Furo 393,204,151,6.973,0.4445
394,Furo 394,236,9,5.159,1.5938
395,Furo 395,223,9,6.132,0.2776
396,Furo 396,236,229,6.653,1.962
397,Furo 397,226,230,8.136,2.2798
398,Furo 398,35,80,1.748,0.002
399,Furo 399,24,79,8.918,0.6357
400,Furo 400,36,61,6.996,1.5478
401,Furo 401,26,58,0.395,0.0003
402,Furo 402,16,80,9.156,0.6348
403,Furo 403,43,60,5.84,0.0974
404,Furo 404,15,88,6.1,0.3193
405,Furo 405,46,99,5.668,0.1002
406,Furo 406,36,99,0.381,-99.0
407,Furo 407,54,80,4.83,0.105
408,Furo 408,46,81,5.426,0.1386
409,Furo 409,54,161,9.593,0.4667
410,Furo 410,43,161,6.319,0.2611
411,Furo 411,65,160,9.283,2.2525
412,Furo 412,33,160,4.31,0.0486
413,Furo 413,36,170,6.723,0.6055
414,Furo 414,53,179,10.034,0.4254
415,Furo 415,44,180,8.764,0.9378
416,Furo 416,65,181,7.341,0.5893
417,Furo 417,34,180,3.66,0.1102
418,Furo 418,33,191,2.965,0.0791
419,Furo 419,55,199,10.692,0.3764
420,Furo 420,46,198,8.043,0.6746
421,Furo 421,63,201,7.311,1.3633
422,Furo 422,34,201,3.181,0.0796
423,Furo 423,65,210,2.386,0.4883
424,Furo 424,35,208,4.289,0.1612
425,Furo 425,46,220,7.344,1.2361
426,Furo 426,36,219,4.291,0.1523
427,Furo 427,35,217,5.974,0.397
428,Furo 428,53,258,4.426,1.6964
429,Furo 429,46,260,7.652,0.7798
430,Furo 430,45,281,6.055,0.9348
431,Furo 431,35,278,7.959,1.5883
432,Furo 432,35,259,2.35,0.0189
433,Furo 433,84,30,5.62,0.0853
434,Furo 434,84,41,4.114,0.034
435,Furo 435,75,40,6.967,0.3562
436,Furo 436,73,141,7.909,0.6073
437,Furo 437,63,140,6.965,0.3578
438,Furo 438,84,138,6.873,0.8934
439,Furo 439,76,159,5.975,0.9973
440,Furo 440,84,161,4.374,0.3872
441,Furo 441,86,169,3.174,0.7617
442,Furo 442,73,199,4.707,5.1901
443,Furo 443,76,51,4.987,0.1018
444,Furo 444,94,61,7.787,1.354
445,Furo 445,85,60,5.233,0.1175
446,Furo 446,104,38,6.171,0.2002
447,Furo 447,93,41,3.955,0.0284
448,Furo 448,75,90,5.189,0.113
449,Furo 449,94,101,3.837,0.0129
450,Furo 450,85,100,7.041,0.126
451,Furo 451,104,109,5.623,0.9086
452,Furo 452,75,110,6.553,0.349
453,Furo 453,95,121,8.236,0.5484
454,Furo 454,83,119,8.477,0.7014
455,Furo 455,94,140,6.075,0.7232
456,Furo 456,103,139,4.912,0.5653
457,Furo 457,114,120,3.195,0.1542
458,Furo 458,104,118,5.94,0.2892
459,Furo 459,196,91,4.335,0.2541
460,Furo 460,215,101,2.096,0.004
461,Furo 461,204,101,5.338,0.1273
462,Furo 462,196,101,5.924,0.4194
463,Furo 463,195,149,4.787,0.1419
464,Furo 464,216,11,6.602,1.4248
465,Furo 465,225,19,8.322,0.5122
466,Furo 466,214,19,2.425,0.0156
467,Furo 467,245,231,1.612,0.0261
468,Furo 468,233,220,6.26,0.9597
469,Furo 469,226,221,8.001,1.6815
470,Furo 470,213,218,4.826,0.4762
