,CU(%),CU(%),CU(%),CU(%),CU(%),AU(PPM),AU(PPM),AU(PPM),AU(PPM),AU(PPM)
Furo 082,7.02,,7.02,7.02,1,-99.0,,-99.0,-99.0,1
Furo 083,0.385,,0.385,0.385,1,-99.0,,-99.0,-99.0,1
Furo 084,0.221,,0.221,0.221,1,-99.0,,-99.0,-99.0,1
Furo 085,0.027,,0.027,0.027,1,-99.0,,-99.0,-99.0,1
Furo 086,0.179,,0.179,0.179,1,-99.0,,-99.0,-99.0,1
Furo 087,1.742,,1.742,1.742,1,-99.0,,-99.0,-99.0,1
Furo 088,0.129,,0.129,0.129,1,-99.0,,-99.0,-99.0,1
Furo 089,1.878,,1.878,1.878,1,-99.0,,-99.0,-99.0,1
Furo 090,2.688,,2.688,2.688,1,-99.0,,-99.0,-99.0,1
Furo 091,5.725,,5.725,5.725,1,-99.0,,-99.0,-99.0,1
Furo 092,0.291,,0.291,0.291,1,-99.0,,-99.0,-99.0,1
Furo 093,0.752,,0.752,0.752,1,-99.0,,-99.0,-99.0,1
Furo 094,3.999,,3.999,3.999,1,-99.0,,-99.0,-99.0,1
Furo 095,2.431,,2.431,2.431,1,-99.0,,-99.0,-99.0,1
Furo 096,0.0,,0.0,0.0,1,-99.0,,-99.0,-99.0,1
Furo 097,2.447,,2.447,2.447,1,-99.0,,-99.0,-99.0,1
Furo 098,1.852,,1.852,1.852,1,-99.0,,-99.0,-99.0,1
Furo 099,0.26,,0.26,0.26,1,-99.0,,-99.0,-99.0,1
Furo 100,0.0,,0.0,0.0,1,-99.0,,-99.0,-99.0,1
Furo 101,1.003,,1.003,1.003,1,-99.0,,-99.0,-99.0,1
Furo 102,5.303,,5.303,5.303,1,-99.0,,-99.0,-99.0,1
Furo 103,1.074,,1.074,1.074,1,-99.0,,-99.0,-99.0,1
Furo 104,1.593,,1.593,1.593,1,-99.0,,-99.0,-99.0,1
Furo 105,0.707,,0.707,0.707,1,-99.0,,-99.0,-99.0,1
Furo 106,2.602,,2.602,2.602,1,-99.0,,-99.0,-99.0,1
Furo 107,3.26,,3.26,3.26,1,-99.0,,-99.0,-99.0,1
Furo 108,3.327,,3.327,3.327,1,-99.0,,-99.0,-99.0,1
Furo 109,5.313,,5.313,5.313,1,-99.0,,-99.0,-99.0,1
Furo 110,5.472,,5.472,5.472,1,-99.0,,-99.0,-99.0,1
Furo 111,4.827,,4.827,4.827,1,-99.0,,-99.0,-99.0,1
Furo 112,0.841,,0.841,0.841,1,-99.0,,-99.0,-99.0,1
Furo 113,0.047,,0.047,0.047,1,-99.0,,-99.0,-99.0,1
Furo 114,1.806,,1.806,1.806,1,-99.0,,-99.0,-99.0,1
Furo 115,0.0,,0.0,0.0,1,-99.0,,-99.0,-99.0,1
Furo 116,3.424,,3.424,3.424,1,-99.0,,-99.0,-99.0,1
Furo 117,6.023,,6.023,6.023,1,-99.0,,-99.0,-99.0,1
Furo 118,2.091,,2.091,2.091,1,-99.0,,-99.0,-99.0,1
Furo 119,0.794,,0.794,0.794,1,-99.0,,-99.0,-99.0,1
Furo 120,1.041,,1.041,1.041,1,-99.0,,-99.0,-99.0,1
Furo 121,4.46,,4.46,4.46,1,-99.0,,-99.0,-99.0,1
Furo 122,1.899,,1.899,1.899,1,-99.0,,-99.0,-99.0,1
Furo 123,2.804,,2.804,2.804,1,-99.0,,-99.0,-99.0,1
Furo 124,0.0,,0.0,0.0,1,-99.0,,-99.0,-99.0,1
Furo 125,4.993,,4.993,4.993,1,-99.0,,-99.0,-99.0,1
Furo 126,4.573,,4.573,4.573,1,-99.0,,-99.0,-99.0,1
Furo 127,3.412,,3.412,3.412,1,-99.0,,-99.0,-99.0,1
Furo 128,0.0,,0.0,0.0,1,-99.0,,-99.0,-99.0,1
Furo 129,2.083,,2.083,2.083,1,-99.0,,-99.0,-99.0,1
Furo 130,0.997,,0.997,0.997,1,-99.0,,-99.0,-99.0,1
Furo 131,6.366,,6.366,6.366,1,-99.0,,-99.0,-99.0,1
Furo 132,1.731,,1.731,1.731,1,-99.0,,-99.0,-99.0,1
Furo 133,0.17,,0.17,0.17,1,-99.0,,-99.0,-99.0,1
Furo 134,2.831,,2.831,2.831,1,-99.0,,-99.0,-99.0,1
Furo 135,0.309,,0.309,0.309,1,-99.0,,-99.0,-99.0,1
Furo 136,3.485,,3.485,3.485,1,-99.0,,-99.0,-99.0,1
Furo 137,2.224,,2.224,2.224,1,-99.0,,-99.0,-99.0,1
Furo 138,0.591,,0.591,0.591,1,-99.0,,-99.0,-99.0,1
Furo 139,0.0,,0.0,0.0,1,-99.0,,-99.0,-99.0,1
Furo 140,3.26,,3.26,3.26,1,-99.0,,-99.0,-99.0,1
Furo 141,3.251,,3.251,3.251,1,-99.0,,-99.0,-99.0,1
Furo 142,1.147,,1.147,1.147,1,-99.0,,-99.0,-99.0,1
Furo 143,4.816,,4.816,4.816,1,-99.0,,-99.0,-99.0,1
Furo 144,3.241,,3.241,3.241,1,-99.0,,-99.0,-99.0,1
Furo 145,0.109,,0.109,0.109,1,-99.0,,-99.0,-99.0,1
Furo 146,3.329,,3.329,3.329,1,-99.0,,-99.0,-99.0,1
Furo 147,1.844,,1.844,1.844,1,-99.0,,-99.0,-99.0,1
Furo 148,1.466,,1.466,1.466,1,-99.0,,-99.0,-99.0,1
Furo 149,0.92,,0.92,0.92,1,-99.0,,-99.0,-99.0,1
Furo 150,0.025,,0.025,0.025,1,-99.0,,-99.0,-99.0,1
Furo 151,3.581,,3.581,3.581,1,-99.0,,-99.0,-99.0,1
Furo 152,4.733,,4.733,4.733,1,-99.0,,-99.0,-99.0,1
Furo 153,3.088,,3.088,3.088,1,-99.0,,-99.0,-99.0,1
Furo 154,4.068,,4.068,4.068,1,-99.0,,-99.0,-99.0,1
Furo 155,8.121,,8.121,8.121,1,-99.0,,-99.0,-99.0,1
Furo 156,3.397,,3.397,3.397,1,-99.0,,-99.0,-99.0,1
Furo 157,2.239,,2.239,2.239,1,-99.0,,-99.0,-99.0,1
Furo 158,6.735,,6.735,6.735,1,-99.0,,-99.0,-99.0,1
Furo 159,1.41,,1.41,1.41,1,-99.0,,-99.0,-99.0,1
Furo 160,0.618,,0.618,0.618,1,-99.0,,-99.0,-99.0,1
Furo 161,2.583,,2.583,2.583,1,-99.0,,-99.0,-99.0,1
Furo 162,5.903,,5.903,5.903,1,-99.0,,-99.0,-99.0,1
Furo 163,1.669,,1.669,1.669,1,-99.0,,-99.0,-99.0,1
Furo 164,1.252,,1.252,1.252,1,-99.0,,-99.0,-99.0,1
Furo 165,0.293,,0.293,0.293,1,-99.0,,-99.0,-99.0,1
Furo 166,6.176,,6.176,6.176,1,-99.0,,-99.0,-99.0,1
Furo 167,4.259,,4.259,4.259,1,-99.0,,-99.0,-99.0,1
Furo 168,2.957,,2.957,2.957,1,-99.0,,-99.0,-99.0,1
Furo 169,2.249,,2.249,2.249,1,-99.0,,-99.0,-99.0,1
Furo 170,0.317,,0.317,0.317,1,-99.0,,-99.0,-99.0,1
Furo 171,3.774,,3.774,3.774,1,-99.0,,-99.0,-99.0,1
Furo 172,3.333,,3.333,3.333,1,-99.0,,-99.0,-99.0,1
Furo 173,3.51,,3.51,3.51,1,-99.0,,-99.0,-99.0,1
Furo 174,0.0,,0.0,0.0,1,-99.0,,-99.0,-99.0,1
Furo 175,1.376,,1.376,1.376,1,-99.0,,-99.0,-99.0,1
Furo 176,4.512,,4.512,4.512,1,-99.0,,-99.0,-99.0,1
Furo 177,6.395,,6.395,6.395,1,-99.0,,-99.0,-99.0,1
Furo 178,1.199,,1.199,1.199,1,-99.0,,-99.0,-99.0,1
Furo 179,0.272,,0.272,0.272,1,-99.0,,-99.0,-99.0,1
Furo 180,0.021,,0.021,0.021,1,-99.0,,-99.0,-99.0,1
Furo 181,1.677,,1.677,1.677,1,-99.0,,-99.0,-99.0,1
Furo 182,1.478,,1.478,1.478,1,-99.0,,-99.0,-99.0,1
Furo 183,4.427,,4.427,4.427,1,-99.0,,-99.0,-99.0,1
Furo 184,4.877,,4.877,4.877,1,-99.0,,-99.0,-99.0,1
Furo 185,0.0,,0.0,0.0,1,-99.0,,-99.0,-99.0,1
Furo 186,0.282,,0.282,0.282,1,-99.0,,-99.0,-99.0,1
Furo 187,0.0,,0.0,0.0,1,-99.0,,-99.0,-99.0,1
Furo 188,0.183,,0.183,0.183,1,-99.0,,-99.0,-99.0,1
Furo 189,2.663,,2.663,2.663,1,-99.0,,-99.0,-99.0,1
Furo 190,5.023,,5.023,5.023,1,-99.0,,-99.0,-99.0,1
Furo 191,0.0,,0.0,0.0,1,-99.0,,-99.0,-99.0,1
Furo 192,2.409,,2.409,2.409,1,-99.0,,-99.0,-99.0,1
Furo 193,2.344,,2.344,2.344,1,-99.0,,-99.0,-99.0,1
Furo 194,0.224,,0.224,0.224,1,-99.0,,-99.0,-99.0,1
Furo 195,0.456,,0.456,0.456,1,-99.0,,-99.0,-99.0,1
Furo 196,0.762,,0.762,0.762,1,0.0011,,0.0011,0.0011,1
Furo 197,2.843,,2.843,2.843,1,0.0078,,0.0078,0.0078,1
Furo 198,6.068,,6.068,6.068,1,0.1053,,0.1053,0.1053,1
Furo 199,7.727,,7.727,7.727,1,1.5127,,1.5127,1.5127,1
Furo 200,2.695,,2.695,2.695,1,0.0098,,0.0098,0.0098,1
Furo 201,10.367,,10.367,10.367,1,0.8604,,0.8604,0.8604,1
Furo 202,2.386,,2.386,2.386,1,0.0127,,0.0127,0.0127,1
Furo 203,5.194,,5.194,5.194,1,0.1771,,0.1771,0.1771,1
Furo 204,4.149,,4.149,4.149,1,0.0234,,0.0234,0.0234,1
Furo 205,6.014,,6.014,6.014,1,0.1731,,0.1731,0.1731,1
Furo 206,5.792,,5.792,5.792,1,0.2965,,0.2965,0.2965,1
Furo 207,6.014,,6.014,6.014,1,0.3006,,0.3006,0.3006,1
Furo 208,5.946,,5.946,5.946,1,0.2297,,0.2297,0.2297,1
Furo 209,5.501,,5.501,5.501,1,0.2583,,0.2583,0.2583,1
Furo 210,0.994,,0.994,0.994,1,0.0022,,0.0022,0.0022,1
Furo 211,2.336,,2.336,2.336,1,0.0142,,0.0142,0.0142,1
Furo 212,0.144,,0.144,0.144,1,0.0001,,0.0001,0.0001,1
Furo 213,1.159,,1.159,1.159,1,0.0031,,0.0031,0.0031,1
Furo 214,5.062,,5.062,5.062,1,0.1269,,0.1269,0.1269,1
Furo 215,5.024,,5.024,5.024,1,0.0738,,0.0738,0.0738,1
Furo 216,6.08,,6.08,6.08,1,0.2107,,0.2107,0.2107,1
Furo 217,3.639,,3.639,3.639,1,0.0304,,0.0304,0.0304,1
Furo 218,3.856,,3.856,3.856,1,0.0503,,0.0503,0.0503,1
Furo 219,15.211,,15.211,15.211,1,3.6918,,3.6918,3.6918,1
Furo 220,3.409,,3.409,3.409,1,0.05,,0.05,0.05,1
Furo 221,8.791,,8.791,8.791,1,0.4742,,0.4742,0.4742,1
Furo 222,4.134,,4.134,4.134,1,0.083,,0.083,0.083,1
Furo 223,8.689,,8.689,8.689,1,0.9838,,0.9838,0.9838,1
Furo 224,6.574,,6.574,6.574,1,0.2178,,0.2178,0.2178,1
Furo 225,4.77,,4.77,4.77,1,0.0715,,0.0715,0.0715,1
Furo 226,2.685,,2.685,2.685,1,0.0262,,0.0262,0.0262,1
Furo 227,8.064,,8.064,8.064,1,0.3011,,0.3011,0.3011,1
Furo 228,9.144,,9.144,9.144,1,1.5485,,1.5485,1.5485,1
Furo 229,8.115,,8.115,8.115,1,0.2349,,0.2349,0.2349,1
Furo 230,11.136,,11.136,11.136,1,2.1547,,2.1547,2.1547,1
Furo 231,10.08,,10.08,10.08,1,3.6374,,3.6374,3.6374,1
Furo 232,15.281,,15.281,15.281,1,1.9309,,1.9309,1.9309,1
Furo 233,9.709,,9.709,9.709,1,1.3911,,1.3911,1.3911,1
Furo 234,11.09,,11.09,11.09,1,1.6608,,1.6608,1.6608,1
Furo 235,12.039,,12.039,12.039,1,1.8137,,1.8137,1.8137,1
Furo 236,6.413,,6.413,6.413,1,0.2491,,0.2491,0.2491,1
Furo 237,7.206,,7.206,7.206,1,1.1601,,1.1601,1.1601,1
Furo 238,6.653,,6.653,6.653,1,0.5478,,0.5478,0.5478,1
Furo 239,5.433,,5.433,5.433,1,1.0666,,1.0666,1.0666,1
Furo 240,1.011,,1.011,1.011,1,0.0595,,0.0595,0.0595,1
Furo 241,6.159,,6.159,6.159,1,0.4209,,0.4209,0.4209,1
Furo 242,5.431,,5.431,5.431,1,1.7142,,1.7142,1.7142,1
Furo 243,8.688,,8.688,8.688,1,0.8287,,0.8287,0.8287,1
Furo 244,5.83,,5.83,5.83,1,1.7888,,1.7888,1.7888,1
Furo 245,6.707,,6.707,6.707,1,3.7389,,3.7389,3.7389,1
Furo 246,1.488,,1.488,1.488,1,0.675,,0.675,0.675,1
Furo 247,7.98,,7.98,7.98,1,1.1821,,1.1821,1.1821,1
Furo 248,1.949,,1.949,1.949,1,0.9833,,0.9833,0.9833,1
Furo 249,6.352,,6.352,6.352,1,0.7666,,0.7666,0.7666,1
Furo 250,7.816,,7.816,7.816,1,0.5654,,0.5654,0.5654,1
Furo 251,2.386,,2.386,2.386,1,0.0127,,0.0127,0.0127,1
Furo 252,4.72,,4.72,4.72,1,0.0849,,0.0849,0.0849,1
Furo 253,0.581,,0.581,0.581,1,0.0003,,0.0003,0.0003,1
Furo 254,6.003,,6.003,6.003,1,0.1246,,0.1246,0.1246,1
Furo 255,0.649,,0.649,0.649,1,0.0008,,0.0008,0.0008,1
Furo 256,5.059,,5.059,5.059,1,0.07,,0.07,0.07,1
Furo 257,8.016,,8.016,8.016,1,0.4211,,0.4211,0.4211,1
Furo 258,1.588,,1.588,1.588,1,0.0043,,0.0043,0.0043,1
Furo 259,6.063,,6.063,6.063,1,0.1751,,0.1751,0.1751,1
Furo 260,0.307,,0.307,0.307,1,-99.0,,-99.0,-99.0,1
Furo 261,7.301,,7.301,7.301,1,1.6945,,1.6945,1.6945,1
Furo 262,4.212,,4.212,4.212,1,0.0351,,0.0351,0.0351,1
Furo 263,1.048,,1.048,1.048,1,0.0018,,0.0018,0.0018,1
Furo 264,0.441,,0.441,0.441,1,-99.0,,-99.0,-99.0,1
Furo 265,8.011,,8.011,8.011,1,2.535,,2.535,2.535,1
Furo 266,7.42,,7.42,7.42,1,3.3715,,3.3715,3.3715,1
Furo 267,6.891,,6.891,6.891,1,0.6346,,0.6346,0.6346,1
Furo 268,4.246,,4.246,4.246,1,0.7626,,0.7626,0.7626,1
Furo 269,1.843,,1.843,1.843,1,0.2417,,0.2417,0.2417,1
Furo 270,2.452,,2.452,2.452,1,0.4311,,0.4311,0.4311,1
Furo 271,6.3,,6.3,6.3,1,1.9921,,1.9921,1.9921,1
Furo 272,0.0,,0.0,0.0,1,-99.0,,-99.0,-99.0,1
Furo 273,0.487,,0.487,0.487,1,-99.0,,-99.0,-99.0,1
Furo 274,7.574,,7.574,7.574,1,0.4738,,0.4738,0.4738,1
Furo 275,7.398,,7.398,7.398,1,0.2802,,0.2802,0.2802,1
Furo 276,5.207,,5.207,5.207,1,0.0768,,0.0768,0.0768,1
Furo 277,0.0,,0.0,0.0,1,-99.0,,-99.0,-99.0,1
Furo 278,0.0,,0.0,0.0,1,-99.0,,-99.0,-99.0,1
Furo 279,7.305,,7.305,7.305,1,0.464,,0.464,0.464,1
Furo 280,3.831,,3.831,3.831,1,0.0978,,0.0978,0.0978,1
Furo 281,5.088,,5.088,5.088,1,0.1039,,0.1039,0.1039,1
Furo 282,5.733,,5.733,5.733,1,0.1383,,0.1383,0.1383,1
Furo 283,3.724,,3.724,3.724,1,0.0709,,0.0709,0.0709,1
Furo 284,5.858,,5.858,5.858,1,0.1972,,0.1972,0.1972,1
Furo 285,3.972,,3.972,3.972,1,0.0389,,0.0389,0.0389,1
Furo 286,6.145,,6.145,6.145,1,0.1923,,0.1923,0.1923,1
Furo 287,7.349,,7.349,7.349,1,0.1596,,0.1596,0.1596,1
Furo 288,5.993,,5.993,5.993,1,0.5393,,0.5393,0.5393,1
Furo 289,1.812,,1.812,1.812,1,0.0013,,0.0013,0.0013,1
Furo 290,7.448,,7.448,7.448,1,1.987,,1.987,1.987,1
Furo 291,10.223,,10.223,10.223,1,0.643,,0.643,0.643,1
Furo 292,8.993,,8.993,8.993,1,1.2903,,1.2903,1.2903,1
Furo 293,3.637,,3.637,3.637,1,0.0205,,0.0205,0.0205,1
Furo 294,5.132,,5.132,5.132,1,0.2639,,0.2639,0.2639,1
Furo 295,6.488,,6.488,6.488,1,2.1475,,2.1475,2.1475,1
Furo 296,6.454,,6.454,6.454,1,1.9271,,1.9271,1.9271,1
Furo 297,0.13,,0.13,0.13,1,0.0002,,0.0002,0.0002,1
Furo 298,1.903,,1.903,1.903,1,0.0488,,0.0488,0.0488,1
Furo 299,8.93,,8.93,8.93,1,3.0709,,3.0709,3.0709,1
Furo 300,1.047,,1.047,1.047,1,0.0146,,0.0146,0.0146,1
Furo 301,1.504,,1.504,1.504,1,0.0169,,0.0169,0.0169,1
Furo 302,5.584,,5.584,5.584,1,0.5516,,0.5516,0.5516,1
Furo 303,5.58,,5.58,5.58,1,0.5139,,0.5139,0.5139,1
Furo 304,3.185,,3.185,3.185,1,0.1292,,0.1292,0.1292,1
Furo 305,3.943,,3.943,3.943,1,0.2392,,0.2392,0.2392,1
Furo 306,1.419,,1.419,1.419,1,0.0086,,0.0086,0.0086,1
Furo 307,1.125,,1.125,1.125,1,0.0046,,0.0046,0.0046,1
Furo 308,5.804,,5.804,5.804,1,1.1187,,1.1187,1.1187,1
Furo 309,5.359,,5.359,5.359,1,0.4457,,0.4457,0.4457,1
Furo 310,3.982,,3.982,3.982,1,0.5618,,0.5618,0.5618,1
Furo 311,5.173,,5.173,5.173,1,0.1488,,0.1488,0.1488,1
Furo 312,4.272,,4.272,4.272,1,0.1972,,0.1972,0.1972,1
Furo 313,3.676,,3.676,3.676,1,1.4298,,1.4298,1.4298,1
Furo 314,3.747,,3.747,3.747,1,0.0775,,0.0775,0.0775,1
Furo 315,1.448,,1.448,1.448,1,0.0813,,0.0813,0.0813,1
Furo 316,1.698,,1.698,1.698,1,0.1545,,0.1545,0.1545,1
Furo 317,2.351,,2.351,2.351,1,0.1369,,0.1369,0.1369,1
Furo 318,6.117,,6.117,6.117,1,0.7358,,0.7358,0.7358,1
Furo 319,7.464,,7.464,7.464,1,0.7106,,0.7106,0.7106,1
Furo 320,4.366,,4.366,4.366,1,0.4958,,0.4958,0.4958,1
Furo 321,5.409,,5.409,5.409,1,0.5868,,0.5868,0.5868,1
Furo 322,8.01,,8.01,8.01,1,1.419,,1.419,1.419,1
Furo 323,2.721,,2.721,2.721,1,0.1773,,0.1773,0.1773,1
Furo 324,2.041,,2.041,2.041,1,0.086,,0.086,0.086,1
Furo 325,5.439,,5.439,5.439,1,0.675,,0.675,0.675,1
Furo 326,6.062,,6.062,6.062,1,0.3811,,0.3811,0.3811,1
Furo 327,3.56,,3.56,3.56,1,0.2804,,0.2804,0.2804,1
Furo 328,4.409,,4.409,4.409,1,0.3303,,0.3303,0.3303,1
Furo 329,3.018,,3.018,3.018,1,0.3656,,0.3656,0.3656,1
Furo 330,3.694,,3.694,3.694,1,0.1545,,0.1545,0.1545,1
Furo 331,1.668,,1.668,1.668,1,0.0245,,0.0245,0.0245,1
Furo 332,2.309,,2.309,2.309,1,0.0422,,0.0422,0.0422,1
Furo 333,2.403,,2.403,2.403,1,0.0802,,0.0802,0.0802,1
Furo 334,7.371,,7.371,7.371,1,1.3734,,1.3734,1.3734,1
Furo 335,5.186,,5.186,5.186,1,0.1477,,0.1477,0.1477,1
Furo 336,3.907,,3.907,3.907,1,0.1867,,0.1867,0.1867,1
Furo 337,7.974,,7.974,7.974,1,1.4297,,1.4297,1.4297,1
Furo 338,6.026,,6.026,6.026,1,1.5109,,1.5109,1.5109,1
Furo 339,4.308,,4.308,4.308,1,0.2652,,0.2652,0.2652,1
Furo 340,3.541,,3.541,3.541,1,0.478,,0.478,0.478,1
Furo 341,6.024,,6.024,6.024,1,0.5389,,0.5389,0.5389,1
Furo 342,1.726,,1.726,1.726,1,0.0519,,0.0519,0.0519,1
Furo 343,3.248,,3.248,3.248,1,0.2909,,0.2909,0.2909,1
Furo 344,4.201,,4.201,4.201,1,0.3983,,0.3983,0.3983,1
Furo 345,7.635,,7.635,7.635,1,1.2367,,1.2367,1.2367,1
Furo 346,6.878,,6.878,6.878,1,0.4868,,0.4868,0.4868,1
Furo 347,7.358,,7.358,7.358,1,0.4639,,0.4639,0.4639,1
Furo 348,0.869,,0.869,0.869,1,0.0001,,0.0001,0.0001,1
Furo 349,8.17,,8.17,8.17,1,0.7088,,0.7088,0.7088,1
Furo 350,6.379,,6.379,6.379,1,0.3494,,0.3494,0.3494,1
Furo 351,5.123,,5.123,5.123,1,0.392,,0.392,0.392,1
Furo 352,4.234,,4.234,4.234,1,0.0212,,0.0212,0.0212,1
Furo 353,5.696,,5.696,5.696,1,0.0628,,0.0628,0.0628,1
Furo 354,8.58,,8.58,8.58,1,0.873,,0.873,0.873,1
Furo 355,2.34,,2.34,2.34,1,0.0075,,0.0075,0.0075,1
